time,ax,ay,az
0.0,0.024835707650561634,-0.07501109307234681,-10.001832777422969
0.01,-0.006913215058559233,-0.03894185214102174,-9.748158376693636
0.02,0.032384426905034625,0.06755364462065697,-9.837018816949353
0.03,0.07615149282040128,0.04430955942923978,-9.850074196091551
0.04,-0.011707668736166799,-0.0031319788663617433,-9.829922263749468
0.05,-0.011706847847459028,0.012156172925644654,-9.832332152340731
0.06,0.07896064077536957,-0.014712125281822884,-9.779386509494731
0.07,0.03837173645764544,0.06782916929139911,-9.887971788956312
0.08,-0.023473719296747606,-0.010017628889708195,-9.86388603728958
0.09,0.027128002179298234,0.011592104606742403,-9.79284207229013
0.1,-0.023170884640623113,0.05730150720710325,-9.778852798479335
0.11,-0.023286487678512845,-0.03886857424229533,-9.7779229177532
0.12,0.012098113578301706,0.0779394592248447,-9.849351813946665
0.13,-0.0956640122328899,-0.07652307048716885,-9.858913282463313
0.14,-0.08624589162565165,0.08148210655563994,-9.835331741689396
0.15,-0.028114376462048635,-0.01863377919759873,-9.798006362385765
0.16,-0.05064155601672119,-0.012134937391264089,-9.735726131536373
0.17,0.015712366629763694,-0.09450050855914716,-9.912371859288537
0.18,-0.04540120377606055,-0.022739735868884645,-9.82103643784792
0.19,-0.07061518506676458,-0.05199032655134422,-9.87663392205126
0.2,0.07328243844607771,-0.03038231726867363,-9.892612133867676
0.21,-0.011288815024326784,-0.006865548289443981,-9.761652167732759
0.22,0.003376410234396192,0.047889580723645284,-9.782768771275034
0.23,-0.07123740931067284,0.010380167570031289,-9.787528324202638
0.24,-0.027219136226259134,0.015383832670055692,-9.763948708013451
0.25,0.005546129485493305,-0.05477596944227812,-9.833985944838307
0.26,-0.057549678871115145,-0.04403770448013651,-9.831631875816678
0.27,0.0187849009172836,0.0899362509175656,-9.700713469163873
0.28,-0.03003193449594025,-0.03676005173816233,-9.82232855271298
0.29,-0.01458468748966384,0.08281041260286479,-9.773243394347295
0.3,-0.030085330611469847,-0.012153059944043325,-9.809680922951834
0.31,0.09261390922544689,0.00011439680717520247,-9.90241292650392
0.32,-0.0006748612368966961,0.05351825801149649,-9.912231450190063
0.33,-0.05288554644779502,0.06359462109693283,-9.838949210996995
0.34,0.04112724560515946,-0.005540628013954375,-9.757194937416502
0.35000000000000003,-0.06104218249855112,-0.019412152676076946,-9.770585417168201
0.36,0.010443179750237772,-0.002796022426110656,-9.7642961417888
0.37,-0.09798350619398878,0.016897876411605915,-9.859352308946816
0.38,-0.06640930244492153,0.044565184343487774,-9.729206375493884
0.39,0.009843061793456176,0.00021149294970757883,-9.85824466500932
0.4,0.03692332899977052,0.030944314901157684,-9.799358780066502
0.41000000000000003,0.008568414059498526,0.08191798661354704,-9.810517614495387
0.42,-0.005782414119412027,0.019065480613239233,-9.81869369101573
0.43,-0.01505518477946444,0.015582642800238918,-9.74307039308522
0.44,-0.07392609951837137,-0.0759455412545034,-9.845255526008298
0.45,-0.03599221041973543,-0.13153650684145318,-9.877480262785596
0.46,-0.023031938547989378,0.01941878646150842,-9.80900022568968
0.47000000000000003,0.05285611131094579,-0.0047412115640436125,-9.829991336714327
0.48,0.01718091447842307,-0.025739133745737098,-9.641130854045867
0.49,-0.0881520077681367,0.012176510209317232,-9.776174626178001
0.5,0.01620419846973975,-0.0030201864598454146,-9.830467028760932
0.51,-0.019254114020815827,0.056389012531694926,-9.862805578459355
0.52,-0.03384610001529794,0.004305543412948895,-9.90401442052844
0.53,0.030583814442043396,-0.03734616425350838,-9.861260954286871
0.54,0.05154997612479755,0.049508311947964456,-9.804252911412044
0.55,0.04656400595580993,-0.010856553747310125,-9.738633567420262
0.56,-0.04196087616113193,0.026326834183615356,-9.753915542880604
0.5700000000000001,-0.01546061879256073,-0.023870535309640024,-9.79854525841768
0.58,0.016563171570178198,-0.03249134427487182,-9.826158383285124
0.59,0.04877725635611796,0.0042084115092848075,-9.796559382179392
0.6,-0.0239587118922645,0.000641432177184256,-9.835931899874229
0.61,-0.009282948833190856,0.023991351768341652,-9.724081800211806
0.62,-0.05531674870030141,-0.013432287665487128,-9.819459509063755
0.63,-0.05981033120403354,-0.09181798918851987,-9.814316892912338
0.64,0.040626291119709904,-0.021638694179419434,-9.920791121251034
0.65,0.06781200142854114,0.03969092335719079,-9.81977174232614
0.66,-0.0036005060790166923,-0.014868803962155322,-9.768175793101754
0.67,0.05017664489460121,-0.012319170125727402,-9.863386128851928
0.68,0.018081801252381707,0.04931882529529685,-9.847536016724641
0.6900000000000001,-0.032255987730256216,-0.03559866136294614,-9.770364449113318
0.7000000000000001,0.018069780275420697,-0.07714016091214498,-9.883832861175904
